Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
Afghanistan	AFG	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															60.93668997					56.1366282					56.09202769					43.2340322					46.53680914	50.48396035	50.65394536	50.96883112	49.03609087	62.08023415	62.85485658	
Angola	AGO	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															36.81475645					36.34565627					39.70482022					35.40446505					30.92171586	31.80065678	33.40704991	33.50705108	35.33104842	35.78846911	36.24047917	
Albania	ALB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															17.79600614					15.07260384					14.32084509					12.15581431					15.33569009	14.64613525	14.562992	15.6359167	16.74886183	14.7365482	14.63400837	
Andorra	AND	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															11.57624525					11.36399568					11.05977326					11.21913396					11.11580842	11.23066635	11.25443241	10.94268417	10.66769454	10.90893447	10.87947242	
Arab World	ARB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															53.19232479					51.82485613					52.9039833					52.76300467					63.79172522	63.14856739	63.80139284	63.39154132	62.99461423	81.93662962	83.15146329	
United Arab Emirates	ARE	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															74.37745934					73.25791681					74.1805101					65.84455957					72.80485477	71.69635049	73.52988815	69.47269504	65.924122	102.9262399	105.1237359	
Argentina	ARG	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															15.91256925					16.05882245					15.60364293					14.82032426					14.2241786	14.06185915	14.07585428	13.57720909	13.64364654	14.11720297	14.14816717	
Armenia	ARM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															20.73218767					17.13288654					18.56389763					21.30936178					25.72082755	25.8609024	24.03591654	24.66518487	25.06870215	27.13203707	26.97289332	
American Samoa	ASM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															4.310768929					4.295556529					4.344942548					4.303133467					3.368691428	3.255183638	3.377270828	3.457884807	3.634140139	3.790378501	3.763411508	
Antigua and Barbuda	ATG	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															17.27547526					17.38403992					17.26118629					16.32133162					13.37421829	13.61344187	13.71104398	14.0147651	13.76841839	15.51769564	15.68594257	
Australia	AUS	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															6.71709804					6.744010717					6.802341296					6.608365778					5.937561281	5.880918943	5.981776157	6.028237909	5.933055205	6.109837979	6.126806421	
Austria	AUT	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															19.26875533					16.61587248					15.26879511					15.30757447					15.1477555	14.93395807	15.24744732	15.94362212	16.46606703	15.03228858	14.96518831	
